state,district,date,ethnicity,population
Selangor,Petaling,2020,bumi_malay,1073200
Selangor,Ulu Langat,2020,bumi_malay,795300
Selangor,Petaling,2020,chinese,762700
Selangor,Gombak,2020,bumi_malay,556000
Selangor,Klang,2020,bumi_malay,525700
Selangor,Ulu Langat,2020,chinese,362300
Selangor,Klang,2020,chinese,251500
Selangor,Kuala Selangor,2020,bumi_malay,218100
Selangor,Petaling,2020,indian,211800
Selangor,Petaling,2020,other_noncitizen,210800
Selangor,Gombak,2020,chinese,200500
Selangor,Kuala Langat,2020,bumi_malay,195900
Selangor,Sepang,2020,bumi_malay,195400
Selangor,Klang,2020,indian,189600
Selangor,Ulu Selangor,2020,bumi_malay,168500
Selangor,Ulu Langat,2020,other_noncitizen,111200
Selangor,Ulu Langat,2020,indian,106100
Selangor,Klang,2020,other_noncitizen,98200
Selangor,Gombak,2020,indian,95500
Selangor,Sabak Bernam,2020,bumi_malay,78100
Selangor,Gombak,2020,other_noncitizen,67000
Selangor,Sepang,2020,chinese,58200
Selangor,Kuala Langat,2020,chinese,53100
Selangor,Sepang,2020,other_noncitizen,32000
Selangor,Kuala Langat,2020,indian,31600
Selangor,Ulu Selangor,2020,indian,30900
Selangor,Sepang,2020,indian,30500
Selangor,Ulu Selangor,2020,chinese,26300
Selangor,Kuala Selangor,2020,indian,26100
Selangor,Petaling,2020,bumi_other,23800
Selangor,Kuala Selangor,2020,chinese,21700
Selangor,Sabak Bernam,2020,chinese,19800
Selangor,Ulu Langat,2020,bumi_other,17100
Selangor,Kuala Langat,2020,other_noncitizen,16700
Selangor,Klang,2020,bumi_other,16200
Selangor,Petaling,2020,other_citizen,15900
Selangor,Gombak,2020,other_citizen,14100
Selangor,Kuala Selangor,2020,other_noncitizen,13200
Selangor,Ulu Selangor,2020,other_noncitizen,10600
Selangor,Gombak,2020,bumi_other,9300
Selangor,Kuala Langat,2020,bumi_other,9100
Selangor,Ulu Langat,2020,other_citizen,8500
Selangor,Klang,2020,other_citizen,7700
Selangor,Sepang,2020,bumi_other,6300
Selangor,Ulu Selangor,2020,bumi_other,5600
Selangor,Sabak Bernam,2020,other_noncitizen,4300
Selangor,Sabak Bernam,2020,indian,4000
Selangor,Sepang,2020,other_citizen,2900
Selangor,Kuala Selangor,2020,bumi_other,1700
Selangor,Ulu Selangor,2020,other_citizen,1200
Selangor,Kuala Langat,2020,other_citizen,1000
Selangor,Kuala Selangor,2020,other_citizen,800
Selangor,Sabak Bernam,2020,bumi_other,600
Selangor,Sabak Bernam,2020,other_citizen,300
